CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
09221300-7;Cera de petroleo;Suministros
09221400-8;Residuos de petroleo;Suministros
09222000-1;Gasolinas especiales;Suministros
09222100-2;Trementina mineral;Suministros
09241000-0;Esquistos bituminosos o petroliferos;Suministros
09242000-7;Productos derivados del carbon;Suministros
09242100-8;Aceite de alquitran;Suministros
09321000-5;Agua caliente;Suministros
09322000-2;Vapor;Suministros
09323000-9;Calefaccion urbana;Suministros
09324000-6;Calefaccion a larga distancia;Suministros
09331000-8;Placas solares;Suministros
09331100-9;Captadores solares para la produccion de calor;Suministros
09331200-0;Modulos solares fotovoltaicos;Suministros
09332000-5;Instalacion solar;Suministros
09341000-1;Uranio;Suministros
09342000-8;Plutonio;Suministros
09343000-5;Materiales radiactivos;Suministros
09344000-2;Radioisotopos;Suministros
14211000-3;Arena;Suministros
14211100-4;Arena natural;Suministros
14212000-0;Granulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demas agregados;Suministros
14212100-1;Guijarros y grava;Suministros
14212110-4;Grava;Suministros
14212120-7;Guijarros;Suministros
14212200-2;Agregados;Suministros
14212210-5;Mezcla arena-grava;Suministros
14212300-3;Piedra partida y machacada;Suministros
14212310-6;Balasto;Suministros
14212320-9;Granito machacado;Suministros
14212330-2;Basalto machacado;Suministros
14212400-4;Suelo;Suministros
14212410-7;Tierra vegetal;Suministros
14212420-0;Subsuelo;Suministros
14212430-3;Gravilla;Suministros
14213000-7;Macadan, macadan bituminoso y arenas bituminosas;Suministros
14213100-8;Macadan;Suministros
14213200-9;Macadan bituminoso;Suministros
14213300-0;Arenas bituminosas;Suministros
14221000-6;Arcilla;Suministros
14222000-3;Caolin;Suministros
14311000-4;Calcio natural, fosfato aluminocalcico y sales de potasio natural en bruto;Suministros
14311100-5;Calcio natural;Suministros
14311200-6;Fosfatos aluminocalcicos;Suministros
14311300-7;Sales de potasio natural en bruto;Suministros
14312000-1;Piritas de hierro;Suministros
14312100-2;Piritas de hierro sin tostar;Suministros
14521000-9;Piedras preciosas y semipreciosas;Suministros
14521100-0;Piedras preciosas;Suministros
14521140-2;Polvillo o polvo de piedras preciosas;Suministros
14521200-1;Piedras semipreciosas;Suministros
14521210-4;Polvillo o polvo de piedras semipreciosas;Suministros
14522000-6;"""Diamantes industriales; piedra pomez; esmeril y otros abrasivos naturales""";Suministros
14522100-7;Piedra pomez;Suministros
14522200-8;Diamantes industriales;Suministros
