CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
38436410-7;Reguladores termicos para agitadores mecanicos con placas termicas;Suministros
38436500-5;Mezcladores mecanicos;Suministros
38436510-8;Rotores de paletas para mezcladores mecanicos;Suministros
38436600-6;Homogeneizadores de inmersion;Suministros
38436610-9;Instrumentos de dispersion para homogeneizadores de inmersion;Suministros
38436700-7;Desintegrador ultrasonico;Suministros
38436710-0;Sondas para desintegradores ultrasonicos;Suministros
38436720-3;Convertidores para desintegradores ultrasonicos;Suministros
38436730-6;Camaras de flujo continuo para desintegradores ultrasonicos;Suministros
38436800-8;Homogeneizadores de paletas rotatorias;Suministros
38437000-7;Pipetas de laboratorio y sus accesorios;Suministros
38437100-8;Pipetas;Suministros
38437110-1;Puntas de pipeta;Suministros
38437120-4;Soportes de pipeta;Suministros
38511000-0;Microscopios electronicos;Suministros
38511100-1;Microscopios electronicos de barrido;Suministros
38511200-2;Microscopio electronico de transmision;Suministros
38512000-7;Microscopios de iones y moleculares;Suministros
38512100-8;Microscopios de iones;Suministros
38512200-9;Microscopios moleculares;Suministros
38513000-4;Microscopios invertidos y metalograficos;Suministros
38513100-5;Microscopios invertidos;Suministros
38513200-6;Microscopios metalograficos;Suministros
38514000-1;Microscopios de campo oscuro y de sonda de barrido;Suministros
38514100-2;Microscopios de campo oscuro;Suministros
38514200-3;Microscopios de sonda de barrido;Suministros
38515000-8;Microscopios de fluorescencia y polarizantes;Suministros
38515100-9;Microscopios polarizantes;Suministros
38515200-0;Microscopios de fluorescencia;Suministros
38516000-5;Microscopios opticos compuestos monoculares o binoculares;Suministros
38517000-2;Microscopios acusticos y de proyeccion;Suministros
38517100-3;Microscopios acusticos;Suministros
38517200-4;Microscopios de proyeccion;Suministros
38518000-9;Microscopios de campo amplio y estereoscopicos;Suministros
38518100-0;Microscopios de campo amplio;Suministros
38518200-1;Microscopios estereoscopicos;Suministros
38519000-6;Compuestos diversos para microscopios;Suministros
38519100-7;Iluminadores para microscopios;Suministros
38519200-8;Objetivos de microscopio;Suministros
38519300-9;Dispositivos fotograficos o de video para microscopios;Suministros
38519310-2;Dispositivos fotograficos para microscopios;Suministros
38519320-5;Dispositivos de video para microscopios;Suministros
38519400-0;Platinas automaticas de microscopio;Suministros
38519500-1;Bombillas de repuesto para microscopio de laboratorio;Suministros
38519600-2;Oculares, condensadores, lentes colectoras, tubos, platinas y fundas para microscopio;Suministros
38519610-5;Oculares de microscopio;Suministros
38519620-8;Condensadores de microscopio;Suministros
38519630-1;Lentes colectoras de microscopio;Suministros
38519640-4;Tubos de microscopio;Suministros
38519650-7;Platinas de microscopio;Suministros
38519660-0;Fundas para microscopio;Suministros
38521000-3;Escaneres de presion;Suministros
38522000-0;Escaneres cromatograficos;Suministros
38527100-6;Dosimetros con camaras de ionizacion;Suministros
38527200-7;Dosimetros;Suministros
38527300-8;Sistemas de dosimetria de patron secundario;Suministros
38527400-9;Dosimetros para maniqui;Suministros
38541000-9;Equipos de ensayo de soldabilidad;Suministros
38542000-6;Aparatos servohidraulicos de pruebas;Suministros
38543000-3;Equipo de deteccion de gases;Suministros
38544000-0;Aparatos detectores de drogas;Suministros
38545000-7;Kits para analisis de gases;Suministros
38546000-4;Sistema de deteccion de explosivos;Suministros
38546100-5;Detectores de bombas;Suministros
38547000-1;Sistema de dosimetria;Suministros
38548000-8;Instrumentos para vehiculos;Suministros
38551000-2;Medidores de energia;Suministros
38552000-9;Contadores electronicos;Suministros
38553000-6;Contadores magneticos;Suministros
38554000-3;Contadores de electricidad;Suministros
38561000-5;Cuentavueltas;Suministros
38561100-6;Velocimetros para vehiculos;Suministros
38561110-9;Tacometros;Suministros
38561120-2;Taximetros;Suministros
38562000-2;Estroboscopios;Suministros
38571000-8;Limitadores de velocidad;Suministros
38581000-1;Equipo de escaner para equipajes;Suministros
38582000-8;Equipo de control por rayos X;Suministros
38621000-4;Aparatos de fibra optica;Suministros
38622000-1;Espejos;Suministros
38623000-8;Filtros opticos;Suministros
38624000-5;Ayudas opticas;Suministros
38631000-7;Binoculares;Suministros
38632000-4;Gafas para vision nocturna;Suministros
38633000-1;Miras telescopicas;Suministros
38634000-8;Microscopios opticos;Suministros
38635000-5;Telescopios;Suministros
38636000-2;Instrumentos opticos especializados;Suministros
38636100-3;Laseres;Suministros
38636110-6;Laseres industriales;Suministros
38641000-0;Periscopios;Suministros
38651000-3;Camaras fotograficas;Suministros
38651100-4;Lentes para camaras fotograficas;Suministros
38651200-5;Cuerpos de camaras fotograficas;Suministros
38651300-6;Camaras para la preparacion de clises o cilindros de imprenta;Suministros
38651400-7;Camaras fotograficas con autorrevelado;Suministros
38651500-8;Camaras cinematograficas;Suministros
38651600-9;Camaras fotograficas digitales;Suministros
38652000-0;Proyectores cinematograficos;Suministros
38652100-1;Proyectores;Suministros
38652110-4;Proyectores de diapositivas;Suministros
38652120-7;Videoproyectores;Suministros
38652200-2;Ampliadoras;Suministros
38652300-3;Reductoras;Suministros
38653000-7;Aparatos para laboratorios fotograficos;Suministros
38653100-8;Lamparas-flash;Suministros
38653110-1;Lamparas de destello para fotografia;Suministros
38653111-8;Cubos de destello para fotografia;Suministros
38653200-9;Ampliadoras fotograficas;Suministros
38653300-0;Aparatos y equipos para el revelado de peliculas;Suministros
38653400-1;Pantallas de proyeccion;Suministros
38654000-4;Equipo para microfilmes y microfichas;Suministros
38654100-5;Equipo para microfilmes;Suministros
38654110-8;Lectores de microfilmes;Suministros
38654200-6;Equipo para microfichas;Suministros
38654210-9;Lectores de microfichas;Suministros
38654300-7;Equipo para microformatos;Suministros
38654310-0;Lectores de microformatos;Suministros
38731000-8;Contadores accionados por fichas;Suministros
38821000-6;Aparatos de radiocontrol;Suministros
38822000-3;Dispositivos de telecontrol por sirenas;Suministros
38911000-4;Kits de ensayo de frotis manuales;Suministros
38912000-1;Kits de ensayo de frotis automatizados;Suministros
38921000-7;Analizadores de grano;Suministros
38922000-4;Contadores de semillas;Suministros
38923000-1;Analizadores de piensos;Suministros
38931000-0;Comprobadores de temperatura y humedad;Suministros
38932000-7;Medidores de humedad;Suministros
38941000-7;Contadores alfa;Suministros
38942000-7;Contadores alfa beta;Suministros
38943000-7;Contadores beta;Suministros
38944000-7;Contadores beta gamma;Suministros
38945000-7;Contadores gamma;Suministros
38946000-7;Contadores de kVc;Suministros
38947000-7;Microanalizadores para radiologia;Suministros
38951000-6;Equipo para reaccion en cadena de la polimerasa (PCR) en tiempo real;Suministros
39111000-3;Asientos;Suministros
39111100-4;Asientos giratorios;Suministros
39111200-5;Butacas de teatro;Suministros
39111300-6;Asientos eyectables;Suministros
39112000-0;Sillas;Suministros
39112100-1;Sillas de comedor;Suministros
39113000-7;Asientos y sillas diversos;Suministros
39113100-8;Sillones;Suministros
39113200-9;Sofas;Suministros
39113300-0;Banquetas;Suministros
39113400-1;Tumbonas;Suministros
39113500-2;Taburetes;Suministros
39113600-3;Bancos para sentarse;Suministros
39113700-4;Reposapies;Suministros
39114000-4;Partes de asientos;Suministros
39114100-5;Tapizado;Suministros
39121000-6;Escritorios y mesas;Suministros
39121100-7;Escritorios;Suministros
39121200-8;Mesas;Suministros
39122000-3;Armarios y librerias;Suministros
39122100-4;Armarios;Suministros
39122200-5;Librerias;Suministros
39131000-9;Estanterias de oficina;Suministros
39131100-0;Estanterias de archivo;Suministros
39132000-6;Sistemas de archivo;Suministros
39132100-7;Archivadores;Suministros
39132200-8;Ficheros;Suministros
39132300-9;Carpetas colgantes de archivo;Suministros
39132400-0;Sistemas carrusel;Suministros
39132500-1;Carritos para oficina;Suministros
39133000-3;Expositores;Suministros
39134000-0;Mobiliario de informatica;Suministros
39134100-1;Mesas para equipo informatico;Suministros
39135000-7;Mesas de clasificacion;Suministros
39135100-8;Estructuras de clasificacion;Suministros
39136000-4;Perchas;Suministros
39137000-1;Ablandadores de agua;Suministros
39141000-2;Muebles y equipo de cocina;Suministros
39141100-3;Estantes;Suministros
39141200-4;Encimeras;Suministros
39141300-5;Armarios vitrina;Suministros
39141400-6;Cocinas equipadas;Suministros
39141500-7;Campanas extractoras de humos;Suministros
39142000-9;Muebles de jardin;Suministros
39143000-6;Muebles de dormitorio, comedor y cuarto de estar;Suministros
39143100-7;Muebles de dormitorio;Suministros
39143110-0;Camas y ropa de cama y pasamaneria especializada;Suministros
39143111-7;Somieres;Suministros
39143112-4;Colchones;Suministros
39143113-1;Pasamaneria especializada;Suministros
39143114-8;Mantas electricas;Suministros
39143115-5;Sabanas de hule;Suministros
39143116-2;Cunas;Suministros
39143120-3;Muebles de dormitorio distintos de las camas y ropa de cama;Suministros
39143121-0;Armarios roperos;Suministros
39143122-7;Comodas;Suministros
39143123-4;Mesillas de noche;Suministros
39143200-8;Muebles de comedor;Suministros
39143210-1;Mesas de comedor;Suministros
39143300-9;Muebles de cuarto de estar;Suministros
39143310-2;Mesitas bajas;Suministros
39144000-3;Mobiliario de cuarto de ba?o;Suministros
39145000-0;Accesorios para bodegas;Suministros
39151000-5;Mobiliario diverso;Suministros
39151100-6;Estanterias;Suministros
39151200-7;Bancos de trabajo;Suministros
39151300-8;Mobiliario modular;Suministros
39152000-2;Estanterias moviles para libros;Suministros
39153000-9;Mobiliario para sala de conferencias;Suministros
39153100-0;Atriles;Suministros
39154000-6;Equipamiento de exposicion;Suministros
39154100-7;Stands de exposicion;Suministros
39155000-3;Mobiliario de biblioteca;Suministros
39155100-4;Equipamiento de biblioteca;Suministros
39156000-0;Mobiliario de recepcion y sala de espera;Suministros
39157000-7;Partes de muebles;Suministros
39161000-8;Mobiliario de jardin de infancia;Suministros
39162000-5;Equipamiento de ense?anza;Suministros
39162100-6;Material pedagogico;Suministros
39162110-9;Material escolar;Suministros
39162200-7;Material y utiles de formacion;Suministros
39171000-1;Vitrinas;Suministros
39172000-8;Mostradores;Suministros
39172100-9;Barras de hosteleria;Suministros
39173000-5;Unidades de almacenamiento;Suministros
39174000-2;Rotulos comerciales;Suministros
39181000-4;Bancos de laboratorio;Suministros
39191000-7;Revestimientos de pared a base de papel o carton;Suministros
39191100-8;Papel para decorar;Suministros
39192000-4;Revestimientos textiles de pared;Suministros
39193000-1;Revestimientos de piso a base de papel o carton;Suministros
39221000-7;Equipo de cocina;Suministros
39221100-8;Utensilios de cocina;Suministros
39221110-1;Loza;Suministros
39221120-4;Tazas y vasos;Suministros
39221121-1;Tazas;Suministros
39221122-8;Tacitas;Suministros
39221123-5;Articulos de vidrio para beber;Suministros
39221130-7;Recipientes para comida;Suministros
39221140-0;Cantimploras;Suministros
39221150-3;Termos;Suministros
39221160-6;Bandejas;Suministros
39221170-9;Escurridores;Suministros
39221180-2;Utensilios para cocinar;Suministros
39221190-5;Escurreplatos;Suministros
39221200-9;Servicios de mesa;Suministros
39221210-2;Platos;Suministros
39221220-5;Fuentes;Suministros
39221230-8;Platillos;Suministros
39221240-1;Tazones;Suministros
39221250-4;Decantadoras;Suministros
39221260-7;Escudillas de campa?a;Suministros
39222000-4;Articulos para catering;Suministros
39222100-5;Articulos desechables para catering;Suministros
39222110-8;Cubiertos y platos desechables;Suministros
39222120-1;Tazas desechables;Suministros
39222200-6;Bandejas para comida;Suministros
39223000-1;Cucharas y tenedores;Suministros
39223100-2;Cucharas;Suministros
39223200-3;Tenedores;Suministros
39224000-8;Escobas y cepillos y otros articulos de diversos tipos;Suministros
39224100-9;Escobas;Suministros
39224200-0;Cepillos;Suministros
39224210-3;Brochas de pintor;Suministros
39224300-1;Escobas y cepillos y otros articulos de limpieza del hogar;Suministros
39224310-4;Escobillas para el inodoro;Suministros
39224320-7;Esponjas;Suministros
39224330-0;Cubos;Suministros
39224340-3;Cubos de basura;Suministros
39224350-6;Recogedores;Suministros
39225000-5;Encendedores, articulos de material combustible, de pirotecnia, cerillas y combustibles liquidos o de gas licuado;Suministros
39225100-6;Encendedores;Suministros
39225200-7;Aleaciones piroforicas;Suministros
39225300-8;Cerillas;Suministros
39225400-9;Gas para encendedores;Suministros
39225500-0;Articulos pirotecnicos;Suministros
39225600-1;Velas;Suministros
39225700-2;Botellas, jarros y redomas;Suministros
39225710-5;Botellas;Suministros
39225720-8;Jarros;Suministros
39225730-1;Redomas;Suministros
39226000-2;Garrafas, cajas de botellas, frascos y bobinas;Suministros
39226100-3;Cajas de botellas;Suministros
39226200-4;Garrafas y frascos;Suministros
39226210-7;Garrafas;Suministros
39226220-0;Frascos;Suministros
39226300-5;Carretes o bobinas;Suministros
39227000-9;Agujas de coser y tejer y dedales;Suministros
39227100-0;Agujas de coser o agujas de tejer;Suministros
39227110-3;Agujas de coser;Suministros
39227120-6;Agujas de tejer;Suministros
39227200-1;Dedales;Suministros
39234000-1;Cajas para compost;Suministros
39235000-8;Fichas;Suministros
39236000-5;Cabinas de pintura;Suministros
39237000-2;Postes indicadores del nivel de nieve;Suministros
39241000-3;Cuchillos y tijeras;Suministros
39241100-4;Cuchillos;Suministros
39241110-7;Cuchillos de mesa;Suministros
39241120-0;Cuchillos de cocina;Suministros
39241130-3;Cuteres;Suministros
39241200-5;Tijeras;Suministros
39254000-7;Relojeria;Suministros
39254100-8;Relojes, excepto de pulsera o de bolsillo;Suministros
39254110-1;Despertadores;Suministros
39254120-4;Relojes de pared;Suministros
39254130-7;Cristal para relojes de pared;Suministros
39261000-9;Bandejas de distribucion;Suministros
39263000-3;Material de escritorio;Suministros
39263100-4;Juegos de escritorio;Suministros
39264000-0;Accesorios para clasificadores de hojas intercambiables o para archivadores;Suministros
39265000-7;Corchetes y hebillas;Suministros
39291000-8;Material de lavanderia;Suministros
39292000-5;Pizarras o tableros escolares con superficies o utensilios para escribir o dibujar;Suministros
39292100-6;Encerados;Suministros
39292110-9;Borradores para encerados;Suministros
39292200-7;Pizarras para escribir;Suministros
39292300-8;Utensilios de dibujo;Suministros
39292400-9;Utensilios de escritura;Suministros
39292500-0;Reglas;Suministros
39293000-2;Productos artificiales;Suministros
39293100-3;Fruta artificial;Suministros
39293200-4;Flores artificiales;Suministros
39293300-5;Hierba artificial;Suministros
39293400-6;Cesped artificial;Suministros
39293500-7;Bisuteria;Suministros
39294000-9;Aparatos y material dise?ados para demostraciones;Suministros
39294100-0;Productos de informacion y promocion;Suministros
39295000-6;"""Paraguas y sombrillas; bastones y bastones-asiento""";Suministros
39295100-7;Sombrillas;Suministros
39295200-8;Paraguas;Suministros
39295300-9;Bastones-asiento;Suministros
39295400-0;Bastones;Suministros
39295500-1;Partes, adornos y accesorios de paraguas, sombrillas, bastones y articulos similares;Suministros
39296000-3;Articulos funerarios;Suministros
39296100-4;Ataudes;Suministros
39297000-0;Suministros para cuartel;Suministros
39298000-7;Estatuillas, objetos de adorno, marcos para fotografias o para cuadros y espejos;Suministros
39298100-8;Marcos para fotografias;Suministros
39298200-9;Marcos para cuadros;Suministros
39298300-0;Floreros;Suministros
39298400-1;Estatuillas;Suministros
39298500-2;Objetos de adorno;Suministros
39298600-3;Globos;Suministros
39298700-4;Trofeos;Suministros
39298800-5;Acuarios;Suministros
39298900-6;Articulos de decoracion diversos;Suministros
39298910-9;Arboles de Navidad;Suministros
39299000-4;Articulos de cristal;Suministros
39299100-5;Ampollas de vidrio;Suministros
39299200-6;Vidrio de seguridad;Suministros
39299300-7;Espejos de vidrio;Suministros
39311000-5;Equipo ligero de catering;Suministros
39312000-2;Equipo para preparacion de comidas;Suministros
39312100-3;Cortadoras de carne;Suministros
39312200-4;Equipo de cantina;Suministros
39313000-9;Equipo de hosteleria;Suministros
39314000-6;Equipo para cocinas industriales;Suministros
39315000-3;Equipo de restaurante;Suministros
39341000-4;Equipo para la presion del gas;Suministros
39511000-7;Mantas y mantas de viaje;Suministros
39511100-8;Mantas;Suministros
39511200-9;Mantas de viaje;Suministros
39512000-4;Ropa de cama;Suministros
39512100-5;Sabanas;Suministros
39512200-6;Fundas de edredon;Suministros
39512300-7;Fundas de colchones;Suministros
39512400-8;Edredones;Suministros
39512500-9;Fundas de almohada;Suministros
39512600-0;Fundas de almohadon;Suministros
39513000-1;Ropa de mesa;Suministros
39513100-2;Manteles;Suministros
39513200-3;Servilletas de mesa;Suministros
39514000-8;Ropa de tocador y de cocina;Suministros
39514100-9;Toallas;Suministros
39514200-0;Pa?os de vajilla;Suministros
39514300-1;Toalla continua;Suministros
39514400-2;Dispensadores automaticos de papel toalla;Suministros
39514500-3;Pa?os de tocador;Suministros
39515000-5;Cortinas, cortinajes, guardamalletas y estores de materia textil;Suministros
39515100-6;Cortinas;Suministros
39515110-9;Cortinas de contencion de humos;Suministros
39515200-7;Cortinajes;Suministros
39515300-8;Guardamalletas;Suministros
39515400-9;Estores;Suministros
39515410-2;Estores de interior;Suministros
39515420-5;Estores de tela;Suministros
39515430-8;Persianas venecianas;Suministros
39515440-1;Persianas verticales;Suministros
39516000-2;Articulos de mobiliario;Suministros
39516100-3;Tejidos para mobiliario;Suministros
39516110-6;Cojines;Suministros
39516120-9;Almohadas;Suministros
39518000-6;Ropa de hospital;Suministros
39518100-7;Ropa blanca para quirofano;Suministros
39518200-8;Sabanas para quirofano;Suministros
39522000-7;Lonas, velas para embarcaciones, tablas de vela o carros de vela, toldos, persianas, tiendas de campa?a y;Suministros
39522100-8;Lonas, toldos y estores de exterior;Suministros
39522110-1;Lonas;Suministros
39522120-4;Toldos;Suministros
39522130-7;Estores de exterior;Suministros
39522200-9;Fundas de camuflaje;Suministros
39522400-1;Velas para embarcaciones;Suministros
39522500-2;Articulos de acampada de materia textil;Suministros
39522510-5;Colchones neumaticos;Suministros
39522520-8;Camas de acampada;Suministros
39522530-1;Tiendas de campa?a;Suministros
39522540-4;Sacos de dormir;Suministros
39522541-1;Sacos de dormir rellenos de plumas o de plumon;Suministros
39523000-4;Paracaidas;Suministros
39523100-5;Paracaidas dirigibles;Suministros
39523200-6;Paracaidas con aspas giratorias;Suministros
39525000-8;Articulos textiles manufacturados diversos;Suministros
39525100-9;Bayetas para el polvo;Suministros
39525200-0;Elementos de tela para filtros;Suministros
39525300-1;Chalecos salvavidas;Suministros
39525400-2;Mantas ignifugas;Suministros
39525500-3;Mosquiteros;Suministros
39525600-4;Pa?os de cocina;Suministros
39525700-5;Cinturones salvavidas;Suministros
39525800-6;Bayetas;Suministros
39525810-9;Trapos para encerar;Suministros
39531000-3;Alfombras;Suministros
39531100-4;Alfombrado de nudos;Suministros
39531200-5;Alfombrado tejido;Suministros
39531300-6;Alfombrado de pelo insertado;Suministros
39531310-9;Losetas de moqueta;Suministros
39531400-7;Alfombrado;Suministros
39532000-0;Esteras;Suministros
39533000-7;Alfombrillas;Suministros
39534000-4;Alfombrado industrial;Suministros
39541000-6;Cordaje, cuerda, bramante y redes;Suministros
39541100-7;Bramante, cordaje y cuerda;Suministros
39541110-0;Cuerda;Suministros
39541120-3;Cordaje;Suministros
39541130-6;Cordel;Suministros
39541140-9;Bramante;Suministros
39541200-8;Redes de materia textil;Suministros
39541210-1;Redes de malla anudada;Suministros
39541220-4;Eslingas;Suministros
39542000-3;Trapos;Suministros
39561000-2;Tul, encaje, cintas y galones, articulos de pasamaneria y bordados;Suministros
39561100-3;"""Cintas y galones; articulos de pasamaneria""";Suministros
39561110-6;Cinta;Suministros
39561120-9;Cinta de materia textil;Suministros
39561130-2;Etiquetas y escudos de materia textil;Suministros
39561131-9;Etiquetas de materia textil;Suministros
39561132-6;Escudos de materia textil;Suministros
39561133-3;Insignias;Suministros
39561140-5;Articulos de pasamaneria y ornamentales;Suministros
39561141-2;Trenzas;Suministros
39561142-9;Hombreras;Suministros
39561200-4;Tejidos de punto de malla;Suministros
39562000-9;Fieltro;Suministros
39563000-6;Guata de materias textiles, hilados, tejidos y articulos textiles para usos tecnicos;Suministros
39563100-7;Guata de materias textiles;Suministros
39563200-8;Hilados metalizados;Suministros
39563300-9;Tejidos de hilos de metal;Suministros
39563400-0;Tejidos impregnados, recubiertos o revestidos;Suministros
39563500-1;Articulos textiles para usos tecnicos;Suministros
39563510-4;Mangueras de materia textil;Suministros
39563520-7;Cintas transportadoras de materia textil;Suministros
39563530-0;Conductos de ventilacion;Suministros
39563600-2;Productos textiles acolchados;Suministros
39711000-9;Aparatos electrodomesticos destinados a los alimentos;Suministros
39711100-0;Refrigeradores y congeladores;Suministros
39711110-3;Combinaciones de refrigerador y congelador-conservador;Suministros
39711120-6;Congeladores;Suministros
39711121-3;Congeladores de arcon;Suministros
39711122-0;Congeladores domesticos;Suministros
39711123-7;Congeladores verticales;Suministros
39711124-4;Congeladores industriales;Suministros
39711130-9;Refrigeradores;Suministros
39711200-1;Procesadores de alimentos;Suministros
39711210-4;Licuadoras;Suministros
39711211-1;Batidoras;Suministros
39711300-2;Aparatos electrotermicos;Suministros
39711310-5;Cafeteras electricas;Suministros
39711320-8;Teteras electricas;Suministros
39711330-1;Tostadores electricos;Suministros
39711340-4;Calientaplatos;Suministros
39711350-7;Aparatos para hacer barquillos;Suministros
39711360-0;Hornos;Suministros
39711361-7;Hornos electricos;Suministros
39711362-4;Hornos de microondas;Suministros
39711400-3;Asadores, placas calentadoras y hornillos;Suministros
39711410-6;Asadores;Suministros
39711420-9;Placas para calentar comidas;Suministros
39711430-2;Placas calentadoras;Suministros
39711440-5;Hornillos;Suministros
39711500-4;Abrelatas;Suministros
39712000-6;Aparatos electrodomesticos para el cuidado del cuerpo humano;Suministros
39712100-7;Maquinas de cortar el pelo;Suministros
39712200-8;Aparatos de peluqueria;Suministros
39712210-1;Secadores de pelo;Suministros
39712300-9;Aparatos para secar las manos;Suministros
39713000-3;"""Aparatos electrodomesticos para la limpieza; alisadores""";Suministros
39713100-4;Lavavajillas;Suministros
39713200-5;Lavadoras y secadoras;Suministros
39713210-8;Lavadoras-secadoras;Suministros
39713211-5;Unidad de secado y prensado;Suministros
39713300-6;Compactadores de basuras;Suministros
39713400-7;Maquinas para mantenimiento de pisos;Suministros
39713410-0;Maquinas para limpieza de pisos;Suministros
39713420-3;Enceradoras de pisos;Suministros
39713430-6;Aspiradoras;Suministros
39713431-3;Accesorios para aspiradoras;Suministros
39713500-8;Planchas electricas;Suministros
39713510-1;Planchas de vapor;Suministros
39714000-0;Campanas aspirantes para extraccion o reciclado;Suministros
39714100-1;Mecanismos de ventilacion;Suministros
39714110-4;Mecanismos de ventilacion mediante extraccion;Suministros
39715000-7;"""Calentadores de agua y calefaccion para edificios; equipo de instalacion sanitaria""";Suministros
39715100-8;Calentadores electricos de agua, instantaneos o de acumulacion, y calentadores de inmersion;Suministros
39715200-9;Equipo de calefaccion;Suministros
39715210-2;Equipo de calefaccion central;Suministros
39715220-5;Resistencias electricas de calentamiento;Suministros
39715230-8;Aparatos electricos para la calefaccion del suelo;Suministros
39715240-1;Aparatos electricos de calefaccion de locales;Suministros
39715300-0;Equipo de fontaneria;Suministros
39716000-4;Partes de aparatos electrodomesticos;Suministros
39717000-1;Ventiladores y aparatos de aire acondicionado;Suministros
39717100-2;Ventiladores;Suministros
39717200-3;Aparatos de aire acondicionado;Suministros
39721000-2;Aparatos domesticos para cocinar o calentar;Suministros
39721100-3;Aparatos domesticos para cocinar;Suministros
39721200-4;Frigorificos de gas;Suministros
39721300-5;Generadores o distribuidores de aire caliente no electricos;Suministros
39721310-8;Generadores de aire caliente;Suministros
39721320-1;Secadores de aire;Suministros
39721321-8;Secadores de aire comprimido;Suministros
39721400-6;Calentadores de agua, instantaneos o de acumulacion, no electricos;Suministros
39721410-9;Aparatos de gas;Suministros
39721411-6;Calentadores de gas;Suministros
39722000-9;Partes de estufas, cocinas, calientaplatos y aparatos domesticos;Suministros
39722100-0;Partes de estufas;Suministros
39722200-1;Partes de cocinas;Suministros
39722300-2;Partes de calientaplatos;Suministros
39811000-0;Preparaciones para perfumar o desodorizar ambientes;Suministros
39811100-1;Ambientadores;Suministros
39811110-4;Dispensadores ambientadores;Suministros
39811200-2;Purificadores de aire;Suministros
39811300-3;Desodorizadores;Suministros
39812000-7;Betunes y cremas;Suministros
39812100-8;Ceras para pisos;Suministros
39812200-9;Betunes para calzado;Suministros
39812300-0;Encausticos;Suministros
39812400-1;Compuestos absorbentes para barrer;Suministros
39812500-2;Agentes de estanqueidad;Suministros
39813000-4;Pastas y polvos para fregar;Suministros
39821000-3;Limpiadores con amoniaco;Suministros
39822000-0;Limpiadores causticos;Suministros
39831000-6;Preparados para lavar;Suministros
39831100-7;Dispersantes;Suministros
39831200-8;Detergentes;Suministros
39831210-1;Detergentes para lavavajillas;Suministros
39831220-4;Agentes desengrasantes;Suministros
39831230-7;Digestores de grasa;Suministros
39831240-0;Compuestos para limpieza;Suministros
39831250-3;Soluciones para enjuague;Suministros
39831300-9;Limpiasuelos;Suministros
39831400-0;Limpiapantallas;Suministros
39831500-1;Productos de limpieza para coches;Suministros
39831600-2;Limpiainodoros;Suministros
39831700-3;Dispensadores automaticos de jabon;Suministros
39832000-3;Productos para el lavavajillas;Suministros
39832100-4;Detergentes en polvo para el lavavajillas;Suministros
39833000-0;Productos contra el polvo;Suministros
39834000-7;Soluciones para limpiar joyas;Suministros
42111000-0;Motores (potencia motriz);Suministros
42111100-1;Motores fueraborda para propulsion marina;Suministros
42112000-7;Instalaciones de turbinas;Suministros
42112100-8;Turbinas de vapor de agua;Suministros
42112200-9;Turbinas hidraulicas;Suministros
42112210-2;Ruedas hidraulicas;Suministros
42112300-0;Turbinas de gas;Suministros
42112400-1;Equipo de turbina;Suministros
42112410-4;Instrumentos para turbinas;Suministros
42113000-4;Partes de turbinas;Suministros
42113100-5;Partes de turbinas de vapor de agua;Suministros
42113110-8;Placas de asiento;Suministros
42113120-1;Entubado de revestimiento;Suministros
42113130-4;Sistemas de refrigeracion de aire por condensador;Suministros
42113150-0;Sistemas de lubrificacion;Suministros
42113160-3;Separadores de humedad;Suministros
42113161-0;Deshumectadores;Suministros
42113170-6;Equipo rotatorio;Suministros
42113171-3;Rotores;Suministros
42113172-0;Alabes;Suministros
42113190-2;Mecanismos de rotacion;Suministros
42113200-6;Partes de turbinas hidraulicas;Suministros
42113300-7;Partes de turbinas de gas;Suministros
42113310-0;Sistemas de admision de aire;Suministros
42113320-3;Modulo de inyeccion de gas;Suministros
42113390-4;Sistemas de gas combustible;Suministros
42113400-8;Partes de ruedas hidraulicas;Suministros
42121000-3;Maquinas y motores hidraulicos o neumaticos;Suministros
42121100-4;Cilindros hidraulicos o neumaticos;Suministros
42121200-5;Motores hidraulicos (vehiculos);Suministros
42121300-6;Motores neumaticos (vehiculos);Suministros
42121400-7;Motores hidraulicos (potencia motriz);Suministros
42121500-8;Motores neumaticos (potencia motriz);Suministros
42122000-0;Bombas (equipos de bombeo);Suministros
42122100-1;Bombas para liquidos;Suministros
42122110-4;Bombas para extincion de incendios;Suministros
42122120-7;Dispositivos de repostaje de helicopteros;Suministros
42122130-0;Bombas de agua;Suministros
42122160-9;Bombas de enfriamiento;Suministros
42122161-6;Bombas de agua de enfriamiento;Suministros
42122170-2;Bombas de lubrificacion;Suministros
42122180-5;Bombas de alimentacion de combustible;Suministros
42122190-8;Bombas de hormigon;Suministros
42122200-2;Bombas alternativas de desplazamiento positivo para liquidos;Suministros
42122210-5;Grupos hidraulicos;Suministros
42122220-8;Bombas para aguas residuales;Suministros
42122230-1;Bombas dosificadoras;Suministros
42122300-3;Elevadores de presion para liquidos;Suministros
42122400-4;Bombas centrifugas y elevadores de liquidos;Suministros
42122410-7;Bombas para uso medico;Suministros
42122411-4;Bombas para uso nutricional;Suministros
42122419-0;Bombas de perfusion;Suministros
42122420-0;Elevadores de liquidos;Suministros
42122430-3;Bombas centrifugas;Suministros
42122440-6;Bombas rotatorias;Suministros
42122450-9;Bombas de vacio;Suministros
42122460-2;Bombas de aire;Suministros
42122480-8;Bombas de impulsor;Suministros
42122500-5;Bombas de laboratorio y accesorios;Suministros
