CPV_def;CPV_Descripcion;Tipo_de_contrato
14800000;Productos minerales no metálicos diversos;Suministros
14810000;Productos abrasivos;Suministros
14811000;Muelas, piedras y ruedas de amolar;Suministros
14811100;Muelas;Suministros
14811200;Piedras de amolar;Suministros
14811300;Ruedas de amolar;Suministros
14812000;Abrasivos en polvo o en grano;Suministros
14813000;Corindón artificial;Suministros
14814000;Grafito artificial;Suministros
14820000;Vidrio;Suministros
14830000;Fibras de vidrio;Suministros
14900000;Materias primas secundarias de recuperación;Suministros
14910000;Materias primas metálicas secundarias de recuperación;Suministros
14920000;Materias primas no metálicas secundarias de recuperación;Suministros
14930000;Cenizas y residuos que contengan metales;Suministros
15000000;Alimentos, bebidas, tabaco y productos afines;Suministros
15100000;Productos de origen animal, carne y productos cárnicos;Suministros
15110000;Carne;Suministros
15111000;Carne de bovino;Suministros
15111100;Carne de vaca;Suministros
15111200;Carne de ternera;Suministros
15112000;Aves de corral;Suministros
15112100;Aves de corral frescas;Suministros
15112110;Gansos;Suministros
15112120;Pavos;Suministros
15112130;Pollos;Suministros
15112140;Patos;Suministros
15112300;Hígados de aves de corral;Suministros
15112310;Foie gras;Suministros
15113000;Carne de cerdo;Suministros
15114000;Despojos;Suministros
15115000;Cordero y carnero;Suministros
15115100;Cordero;Suministros
15115200;Carnero;Suministros
15117000;Carne de cabra;Suministros
15118000;Carne de caballo, asno, mulo o burdégano;Suministros
15118100;Carne de caballo;Suministros
15118900;Carne de asno, mulo o burdégano;Suministros
15119000;Carnes diversas;Suministros
15119100;Carne de conejo;Suministros
15119200;Carne de liebre;Suministros
15119300;Caza;Suministros
15119400;Ancas de rana;Suministros
15119500;Palomas;Suministros
15119600;Carne de pescado;Suministros
15130000;Productos cárnicos;Suministros
15131000;Conservas y preparaciones cárnicas;Suministros
15131100;Productos a base de carne para embutidos;Suministros
15131110;Carne para embutidos;Suministros
15131120;Productos de charcutería;Suministros
15131130;Embutidos;Suministros
15131134;Morcillas y otros embutidos de sangre;Suministros
15131135;Embutidos de carne de ave;Suministros
15131200;Carne seca, salada, ahumada o condimentada;Suministros
15131210;Jamón ahumado;Suministros
15131220;Beicon;Suministros
15131230;Salami;Suministros
15131300;Preparaciones a base de hígado;Suministros
15131310;Paté;Suministros
15131320;Preparaciones a base de hígado de ganso o de pato;Suministros
15131400;Productos a base de carne de cerdo;Suministros
15131410;Jamón;Suministros
15131420;Albóndigas;Suministros
15131490;Platos preparados con carne de cerdo;Suministros
15131500;Productos de volatería;Suministros
15131600;Productos a base de carne de vaca y de ternera;Suministros
15131610;Albóndigas de carne de vaca;Suministros
15131620;Carne picada de vaca;Suministros
15131640;Hamburguesas de carne de vaca;Suministros
15131700;Preparaciones a base de carne;Suministros
15200000;Pescado preparado y en conserva;Suministros
15210000;Filetes de pescado, hígados y huevas de pescado;Suministros
15211000;Filetes de pescado;Suministros
15211100;Filetes de pescado fresco;Suministros
15212000;Huevas;Suministros
15213000;Hígados de pescado;Suministros
15220000;Pescado, filetes de pescado y otros tipos de carne de pescado congelados;Suministros
15221000;Pescado congelado;Suministros
15229000;Productos congelados de pescados;Suministros
15230000;"Pescado seco o salado; en salmuera; ahumado";Suministros
15231000;Pescado seco;Suministros
15232000;Pescado salado;Suministros
15233000;Pescado en salmuera;Suministros
15234000;Pescado ahumado;Suministros
15235000;Conservas de pescado;Suministros
15240000;Pescado en conserva o en lata y otros pescados preparados o en conserva;Suministros
15241000;Pescado empanado, en conserva o en lata;Suministros
15241100;Salmón en conserva;Suministros
15241200;Arenques preparados o en conserva;Suministros
15241300;Sardinas;Suministros
15241400;Atún en conserva;Suministros
15241500;Caballa;Suministros
15241600;Anchoas;Suministros
15241700;Palitos de pescado;Suministros
15241800;Preparaciones a base de pescado empanado;Suministros
15242000;Platos de pescado preparados;Suministros
15243000;Preparaciones a base de pescado;Suministros
15244000;Caviar y huevos de peces;Suministros
15244100;Caviar;Suministros
15244200;Huevos de peces;Suministros
15250000;Mariscos;Suministros
15251000;Crustáceos congelados;Suministros
15252000;Crustáceos preparados o en conserva;Suministros
15253000;Productos a base de moluscos;Suministros
15300000;Frutas, legumbres y hortalizas y productos conexos;Suministros
15310000;Patatas y productos a base de patatas;Suministros
15311000;Patatas congeladas;Suministros
15311100;Patatas fritas;Suministros
15311200;Patatas en dados, en rodajas y otras, congeladas;Suministros
15312000;Productos a base de patatas;Suministros
15312100;Puré de patatas instantáneo;Suministros
15312200;Patatas prefritas;Suministros
15312300;Hojuelas de patatas;Suministros
15312310;Hojuelas de patatas condimentadas;Suministros
15312400;Aperitivos a base de patatas;Suministros
15312500;Croquetas de patatas;Suministros
15313000;Patatas elaboradas;Suministros
15320000;Zumos de frutas y hortalizas;Suministros
15321000;Zumos de frutas;Suministros
15321100;Zumo de naranja;Suministros
15321200;Zumo de pomelo;Suministros
15321300;Zumo de limón;Suministros
15321400;Zumo de piña;Suministros
15321500;Zumo de uva;Suministros
15321600;Zumo de manzana;Suministros
15321700;Mezclas de zumos no concentrados;Suministros
15321800;Zumos concentrados;Suministros
15322000;Zumos de hortalizas;Suministros
15322100;Zumo de tomate;Suministros
15330000;Frutas y hortalizas elaboradas;Suministros
15331000;Legumbres y hortalizas elaboradas;Suministros
15331100;Legumbres y hortalizas frescas o congeladas;Suministros
15331110;Hortalizas de raíz elaboradas;Suministros
15331120;Hortalizas de tubérculo elaboradas;Suministros
15331130;Judías, guisantes, pimientos, tomates y las demás legumbres y hortalizas;Suministros
15331131;Judías elaboradas;Suministros
15331132;Guisantes elaborados;Suministros
15331133;Guisantes partidos;Suministros
15331134;Tomates elaborados;Suministros
15331135;Setas elaboradas;Suministros
15331136;Pimientos elaborados;Suministros
15331137;Brotes de soja;Suministros
15331138;Trufas;Suministros
15331140;Hortalizas de hoja y coles;Suministros
15331142;Repollos elaborados;Suministros
15331150;Legumbres elaboradas;Suministros
15331170;Legumbres y hortalizas congeladas;Suministros
15331400;Legumbres y hortalizas en conserva y/o enlatadas;Suministros
15331410;Judías en salsa de tomate;Suministros
15331411;Judías blancas cocidas, en salsa de tomate;Suministros
15331420;Tomates en conserva;Suministros
15331423;Tomates enlatados;Suministros
15331425;Puré de tomate;Suministros
15331427;Puré de tomate concentrado;Suministros
15331428;Salsa de tomate;Suministros
15331430;Champiñones enlatados;Suministros
15331450;Aceitunas elaboradas;Suministros
15331460;Legumbres y hortalizas enlatadas;Suministros
15331461;Coles fermentadas enlatadas;Suministros
15331462;Guisantes enlatados;Suministros
15331463;Alubias desvainadas enlatadas;Suministros
15331464;Judías verdes enteras enlatadas;Suministros
15331465;Espárragos enlatados;Suministros
15331466;Aceitunas enlatadas;Suministros
15331470;Maíz dulce;Suministros
15331480;Legumbres y hortalizas conservadas provisionalmente;Suministros
15331500;Hortalizas en vinagre;Suministros
15332000;Frutas y frutos de cáscara elaborados;Suministros
15332100;Frutas elaboradas;Suministros
15332140;Manzanas elaboradas;Suministros
15332150;Peras elaboradas;Suministros
15332160;Plátanos elaborados;Suministros
15332170;Ruibarbo;Suministros
15332180;Melones;Suministros
15332200;"Compotas y mermeladas; jaleas de fruta; purés y pastas de fruta o de frutos de cáscara";Suministros
15332230;Mermeladas;Suministros
15332231;Mermelada de naranja;Suministros
15332232;Mermelada de limón;Suministros
15332240;Jaleas de fruta;Suministros
15332250;Pastas de fruta;Suministros
15332260;Pasta de frutos de cáscara;Suministros
15332261;Mantequilla de cacahuete;Suministros
15332270;Purés de fruta;Suministros
15332290;Compotas;Suministros
15332291;Compota de albaricoque;Suministros
15332292;Compota de zarzamora;Suministros
15332293;"Compota de grosella negra ""casis""";Suministros
15332294;Compota de cereza;Suministros
15332295;Compota de frambuesa;Suministros
15332296;Compota de fresa;Suministros
15332300;Frutos de cáscara elaborados;Suministros
15332310;Frutos de cáscara tostados o salados;Suministros
15332400;Conservas de fruta;Suministros
15332410;Fruta seca;Suministros
15332411;Pasas de Corinto elaboradas;Suministros
15332412;Pasas elaboradas;Suministros
15332419;Sultaninas;Suministros
15333000;Subproductos de hortalizas;Suministros
15400000;Aceites y grasas animales o vegetales;Suministros
15410000;Aceites y grasas animales o vegetales en bruto;Suministros
15411000;Aceites animales o vegetales;Suministros
15411100;Aceites vegetales;Suministros
15411110;Aceite de oliva;Suministros
15411120;Aceite de sésamo;Suministros
15411130;Aceite de cacahuete;Suministros
15411140;Aceite de coco;Suministros
15411200;Aceite de cocina;Suministros
15411210;Aceite para freír;Suministros
15412000;Grasas;Suministros
15412100;Grasas animales;Suministros
15412200;Grasas vegetales;Suministros
15413000;Residuos sólidos de grasas o aceites vegetales;Suministros
15413100;Torta de oleaginosas;Suministros
15420000;Aceites y grasas refinados;Suministros
15421000;Aceites refinados;Suministros
15422000;Grasas refinadas;Suministros
15423000;Grasas o aceites hidrogenados o esterificados;Suministros
15424000;Ceras vegetales;Suministros
15430000;Grasas comestibles;Suministros
15431000;Margarina y preparaciones similares;Suministros
15431100;Margarina;Suministros
15431110;Margarina líquida;Suministros
15431200;Productos para untar de contenido graso bajo o reducido;Suministros
15500000;Productos lácteos;Suministros
15510000;Leche y nata (crema);Suministros
15511000;Leche;Suministros
15511100;Leche pasteurizada;Suministros
15511200;Leche esterilizada;Suministros
15511210;Leche UHT;Suministros
15511300;Leche descremada;Suministros
15511400;Leche semidescremada;Suministros
15511500;Leche entera;Suministros
15511600;Leche condensada;Suministros
15511700;Leche en polvo;Suministros
15512000;Nata (crema);Suministros
15512100;Crema de leche, con un contenido de materias grasas, en peso, superior al 18 %;Suministros
15512200;Crema de leche espesa, con un contenido de materias grasas, en peso, del 48 %;Suministros
15512300;"Nata en grumos (""clotted cream""), con un contenido de materias grasas, en peso, igual o superior al 48 %";Suministros
15512900;Nata montada;Suministros
15530000;Mantequilla;Suministros
15540000;Queso;Suministros
15541000;Queso de mesa;Suministros
15542000;Queso fresco;Suministros
15542100;Requesón;Suministros
15542200;Quesos de pasta blanda;Suministros
15542300;Queso feta;Suministros
15543000;Queso rallado, en polvo, de pasta azul y otros quesos;Suministros
15543100;Queso de pasta azul;Suministros
15543200;Queso cheddar;Suministros
15543300;Queso rallado;Suministros
15543400;Queso parmesano;Suministros
15544000;Queso de pasta dura;Suministros
15545000;Quesos para untar;Suministros
15550000;Productos lácteos diversos;Suministros
15551000;Yogur y otros productos lácteos fermentados;Suministros
15551300;Yogur;Suministros
15551310;Yogur natural;Suministros
15551320;Yogur aromatizado;Suministros
